Gene,Wtrep1,Wtrep2,Wtrep3,Kocna1rep1,Kocna1rep2,Kocrz1rep1,Kocrz1rep2,Kocrz1rep3,pmc1005,pmc1006,pmc1007,Wtpmc1008,Wtpmc1009,Wtpmc1010
CNAG_00001,26,16,39,26,19,19,26,19,0,0,1,1,1,1
CNAG_00002,1459,978,1090,1650,1077,1826,1325,1082,6,18,28,33,29,23
CNAG_00003,397,594,531,636,585,452,765,688,5,5,14,6,4,7
CNAG_00004,1635,1542,1481,1920,1369,1662,2204,1711,11,31,27,17,16,27
CNAG_00005,6,24,5,16,15,7,26,13,0,0,0,0,0,1
CNAG_00006,3504,3908,3847,8104,4845,3127,6788,4468,27,114,121,82,57,77
CNAG_00007,1244,1597,1541,1458,1336,1657,2656,1852,13,27,30,22,21,21
CNAG_00008,1688,3600,3102,3656,3019,1620,4747,3526,5,38,26,17,14,22
CNAG_00009,427,1050,681,1051,858,462,1474,987,10,24,17,16,10,14
CNAG_00010,708,2465,1650,2349,1879,648,3082,2163,16,28,22,47,24,48
CNAG_00011,19903,4952,8300,2497,2043,12254,5936,5446,10,23,15,12,9,22
CNAG_00012,1109,2626,1934,3716,2359,858,3838,2075,8,20,32,26,12,23
CNAG_00013,4811,2391,3335,2152,1741,4080,3475,2800,8,15,20,13,10,16
CNAG_00014,280,484,468,463,355,373,690,460,1,3,5,4,3,3
CNAG_00015,1859,849,1217,1167,720,773,899,965,17,41,42,16,13,17
CNAG_00016,19165,5086,6179,3724,2682,16663,6993,6077,12,32,38,27,11,26
CNAG_00017,417,563,421,592,396,359,690,523,3,12,8,7,5,7
CNAG_00018,2987,2438,2734,2749,1972,2848,3395,2690,8,19,41,19,24,10
CNAG_00019,1168,1316,1788,1728,1211,1105,2038,1517,13,32,41,41,42,45
CNAG_00020,459,1031,770,1323,965,352,1256,848,5,13,18,6,6,10
CNAG_00021,99,257,161,235,162,105,335,250,2,5,6,10,7,8
CNAG_00022,4206,3038,3680,3572,2803,3785,4363,3766,5,18,22,21,18,26
